method,metric,value
AODV,delay_ms,9.86478600069838
AODV,delay_ms,12.005717317892458
AODV,delay_ms,10.764928066442737
AODV,delay_ms,18.884628237207835
AODV,delay_ms,19.31306925314145
AODV,delay_ms,6.708394244191554
AODV,delay_ms,6.05372092293707
AODV,delay_ms,6.655806454727152
AODV,delay_ms,24.303228147435192
AODV,delay_ms,6.050814689680548
AODV,delay_ms,6.354394199714883
AODV,delay_ms,10.297790047007812
AODV,delay_ms,6.0474625561962885
AODV,delay_ms,6.654447503794346
AODV,delay_ms,6.418935027233099
AODV,delay_ms,6.229191977701279
AODV,delay_ms,42.304293093157504
AODV,delay_ms,6.344413240131249
AODV,delay_ms,6.25965900338979
AODV,delay_ms,6.513350311213723
AODV,delay_ms,12.703204889599574
AODV,delay_ms,6.243762473874819
AODV,delay_ms,6.1697368234226735
AODV,delay_ms,12.708187018283091
AODV,delay_ms,13.877323969632656
AODV,delay_ms,6.72213862256026
AODV,delay_ms,6.1464164172665825
AODV,delay_ms,6.299338703193577
AODV,delay_ms,42.304293093157504
AODV,delay_ms,30.08361440687992
AODV,delay_ms,6.547514504102777
AODV,delay_ms,11.401990151253882
AODV,delay_ms,6.546312191649999
AODV,delay_ms,34.057665901738105
AODV,delay_ms,17.93485101480325
AODV,delay_ms,16.22542561055796
AODV,delay_ms,6.071973602253113
AODV,delay_ms,6.382921225239257
AODV,delay_ms,14.861440862398412
AODV,delay_ms,11.142672315861184
AODV,delay_ms,15.712111744125306
AODV,delay_ms,11.105173041834316
AODV,delay_ms,6.274538919740035
AODV,delay_ms,6.229095983771674
AODV,delay_ms,6.37949122922586
AODV,delay_ms,16.4505001665216
AODV,delay_ms,6.5460801446985855
AODV,delay_ms,6.638616257804409
AODV,delay_ms,38.10549704502736
AODV,delay_ms,6.166428338029776
AODV,delay_ms,9.84724295095176
AODV,delay_ms,11.265896820600453
AODV,delay_ms,6.281377484837898
AODV,delay_ms,20.103084753395745
AODV,delay_ms,10.064890774742558
AODV,delay_ms,11.618184147202836
AODV,delay_ms,12.496647378605445
AODV,delay_ms,6.230770046896723
AODV,delay_ms,25.997893564508868
AODV,delay_ms,6.436012308215906
AODV,delay_ms,6.738078208576243
AODV,delay_ms,6.202906947542759
AODV,delay_ms,19.156294547315273
AODV,delay_ms,23.55064463227973
AODV,delay_ms,6.425351431012488
AODV,delay_ms,12.576107758345264
AODV,delay_ms,32.306833444836414
AODV,delay_ms,9.818217388968684
AODV,delay_ms,12.662371832400485
AODV,delay_ms,6.630955291319772
AODV,delay_ms,6.416026382184672
AODV,delay_ms,17.317418365288926
AODV,delay_ms,6.162910627235255
AODV,delay_ms,9.699268161434492
AODV,delay_ms,13.205732270735995
AODV,delay_ms,6.379805873427064
AODV,delay_ms,11.051951847467713
AODV,delay_ms,10.5773379982398
AODV,delay_ms,6.5687053383391
AODV,delay_ms,6.06535207415109
AODV,delay_ms,6.449832833503564
AODV,delay_ms,9.51190644312754
AODV,delay_ms,24.85096708427035
AODV,delay_ms,14.674787506949944
AODV,delay_ms,10.006212342623833
AODV,delay_ms,12.920760092606296
AODV,delay_ms,15.258437843262591
AODV,delay_ms,6.242134004114822
AODV,delay_ms,6.689564897793446
AODV,delay_ms,9.923565482645209
AODV,delay_ms,31.438525330002417
AODV,delay_ms,35.839906198511684
AODV,delay_ms,12.5564406757539
AODV,delay_ms,29.85935122706468
AODV,delay_ms,6.296369676080062
AODV,delay_ms,13.462184891007876
AODV,delay_ms,10.257722839166734
AODV,delay_ms,15.972430470147687
AODV,delay_ms,6.06877050800474
AODV,delay_ms,6.4362116988434375
AODV,delay_ms,6.659642893111746
AODV,delay_ms,6.3552664825529614
AODV,delay_ms,15.867397839515885
AODV,delay_ms,6.568623786360755
AODV,delay_ms,30.876410371696878
AODV,delay_ms,10.700662340147641
AODV,delay_ms,12.213959404678402
AODV,delay_ms,9.97313324286574
AODV,delay_ms,6.656868230366108
AODV,delay_ms,6.276523585414515
AODV,delay_ms,6.40481012000327
AODV,delay_ms,11.953950996603755
AODV,delay_ms,6.194003650604771
AODV,delay_ms,18.402797486813476
AODV,delay_ms,11.148228184225186
AODV,delay_ms,10.497845193240206
AODV,delay_ms,14.251325790096656
AODV,delay_ms,10.996096225129804
AODV,delay_ms,20.44606217449653
AODV,delay_ms,6.285884413586217
AODV,delay_ms,9.815348692381026
AODV,delay_ms,6.320434357187784
AODV,delay_ms,20.629519176525164
AODV,delay_ms,6.276523585414515
AODV,delay_ms,6.424494680487064
AODV,delay_ms,9.783804662701435
AODV,delay_ms,34.887846293103586
AODV,delay_ms,9.566903659225847
AODV,delay_ms,6.076835888616115
AODV,delay_ms,11.457843424191703
AODV,delay_ms,11.309528966423509
AODV,delay_ms,6.146264911890135
AODV,delay_ms,19.765560965850185
AODV,delay_ms,9.545502749084909
AODV,delay_ms,14.784370872804494
AODV,delay_ms,11.020878361688991
AODV,delay_ms,9.575355003879448
AODV,delay_ms,6.459764216493591
AODV,delay_ms,10.452672218174683
AODV,delay_ms,11.181109821551214
AODV,delay_ms,6.549074188868351
AODV,delay_ms,6.458558949774496
AODV,delay_ms,6.18806385019243
AODV,delay_ms,6.055522690076639
AODV,delay_ms,6.573393502999718
AODV,delay_ms,28.31264087852241
AODV,delay_ms,6.399447317777352
AODV,delay_ms,53.11368203167019
AODV,delay_ms,34.4309198870923
AODV,delay_ms,6.169531964633321
AODV,delay_ms,11.263412196483799
AODV,delay_ms,6.203215105058211
AODV,delay_ms,20.292843048505958
AODV,delay_ms,28.931453439065038
AODV,delay_ms,6.3695889325848984
AODV,delay_ms,14.911362917387804
AODV,delay_ms,6.645668205805653
AODV,delay_ms,13.153302566159313
AODV,delay_ms,6.056277512859696
AODV,delay_ms,24.91177036415993
AODV,throughput_mbps,2.3016
AODV,throughput_mbps,1.6439999999999995
AODV,throughput_mbps,1.9727999999999997
AODV,throughput_mbps,0.8219999999999997
AODV,throughput_mbps,0.8219999999999997
AODV,throughput_mbps,5.4251999999999985
AODV,throughput_mbps,7.726799999999998
AODV,throughput_mbps,5.589599999999999
AODV,throughput_mbps,1.4796000000000002
AODV,throughput_mbps,7.726799999999998
AODV,throughput_mbps,6.411599999999999
AODV,throughput_mbps,2.1372
AODV,throughput_mbps,7.726799999999998
AODV,throughput_mbps,5.589599999999999
AODV,throughput_mbps,6.247199999999999
AODV,throughput_mbps,6.904799999999999
AODV,throughput_mbps,0.8219999999999997
AODV,throughput_mbps,6.576
AODV,throughput_mbps,6.740399999999999
AODV,throughput_mbps,5.918399999999999
AODV,throughput_mbps,1.4796000000000002
AODV,throughput_mbps,6.904799999999999
AODV,throughput_mbps,7.233599999999999
AODV,throughput_mbps,1.4796000000000002
AODV,throughput_mbps,1.3152000000000001
AODV,throughput_mbps,5.4251999999999985
AODV,throughput_mbps,7.233599999999999
AODV,throughput_mbps,6.740399999999999
AODV,throughput_mbps,0.8219999999999997
AODV,throughput_mbps,0.8219999999999997
AODV,throughput_mbps,5.918399999999999
AODV,throughput_mbps,1.8083999999999996
AODV,throughput_mbps,5.918399999999999
AODV,throughput_mbps,0.8219999999999997
AODV,throughput_mbps,0.8219999999999997
AODV,throughput_mbps,0.9863999999999998
AODV,throughput_mbps,7.562399999999999
AODV,throughput_mbps,6.411599999999999
AODV,throughput_mbps,1.1508
AODV,throughput_mbps,1.8083999999999996
AODV,throughput_mbps,2.3016
AODV,throughput_mbps,1.8083999999999996
AODV,throughput_mbps,6.740399999999999
AODV,throughput_mbps,6.904799999999999
AODV,throughput_mbps,6.411599999999999
AODV,throughput_mbps,0.9863999999999998
AODV,throughput_mbps,5.918399999999999
AODV,throughput_mbps,5.589599999999999
AODV,throughput_mbps,0.8219999999999997
AODV,throughput_mbps,7.233599999999999
AODV,throughput_mbps,2.3016
AODV,throughput_mbps,1.8083999999999996
AODV,throughput_mbps,6.740399999999999
AODV,throughput_mbps,0.8219999999999997
AODV,throughput_mbps,2.1372
AODV,throughput_mbps,1.6439999999999995
AODV,throughput_mbps,1.4796000000000002
AODV,throughput_mbps,6.904799999999999
AODV,throughput_mbps,0.8219999999999997
AODV,throughput_mbps,6.247199999999999
AODV,throughput_mbps,5.4251999999999985
AODV,throughput_mbps,7.069199999999999
AODV,throughput_mbps,1.4796000000000002
AODV,throughput_mbps,0.8219999999999997
AODV,throughput_mbps,6.247199999999999
AODV,throughput_mbps,6.082799999999999
AODV,throughput_mbps,0.8219999999999997
AODV,throughput_mbps,2.3016
AODV,throughput_mbps,6.247199999999999
AODV,throughput_mbps,5.589599999999999
AODV,throughput_mbps,6.247199999999999
AODV,throughput_mbps,0.9863999999999998
AODV,throughput_mbps,7.233599999999999
AODV,throughput_mbps,2.3016
AODV,throughput_mbps,1.3152000000000001
AODV,throughput_mbps,6.411599999999999
AODV,throughput_mbps,1.8083999999999996
AODV,throughput_mbps,1.9727999999999997
AODV,throughput_mbps,5.753999999999999
AODV,throughput_mbps,7.726799999999998
AODV,throughput_mbps,6.082799999999999
AODV,throughput_mbps,2.466
AODV,throughput_mbps,0.8219999999999997
AODV,throughput_mbps,1.1508
AODV,throughput_mbps,2.1372
AODV,throughput_mbps,5.4251999999999985
AODV,throughput_mbps,1.1508
AODV,throughput_mbps,6.904799999999999
AODV,throughput_mbps,5.4251999999999985
AODV,throughput_mbps,2.1372
AODV,throughput_mbps,0.8219999999999997
AODV,throughput_mbps,0.8219999999999997
AODV,throughput_mbps,1.4796000000000002
AODV,throughput_mbps,0.8219999999999997
AODV,throughput_mbps,6.740399999999999
AODV,throughput_mbps,1.3152000000000001
AODV,throughput_mbps,2.1372
AODV,throughput_mbps,0.9863999999999998
AODV,throughput_mbps,7.726799999999998
AODV,throughput_mbps,6.247199999999999
AODV,throughput_mbps,5.589599999999999
AODV,throughput_mbps,6.411599999999999
AODV,throughput_mbps,2.466
AODV,throughput_mbps,5.753999999999999
AODV,throughput_mbps,0.8219999999999997
AODV,throughput_mbps,1.9727999999999997
